Symbol,Name,Description,Sector,Industry,Industry_2,Optionable,Country
SBGI,"Sinclair, Inc.",Television broadcasting stations,Consumer Discretionary,MEDIA CONGLOM,MEDIA,Y,UNITED STATES
SBGSY,Schneider Electric,Private households,Industrial Products,MACH-ELECTRICAL,MACHINERY-ELEC,N,FRANCE
SBH,Sally Beauty,"Retail stores, not elsewhere classified",Retail/Wholesale,RETAIL-MISC/DIV,NONFOOD RETAIL/WH,Y,UNITED STATES
SBHGF,SBI,Nondepository credit institutions,Finance,FIN-INVEST BKRS,INVEST BKRS/MGMT,N,JAPAN
SBIG,"SpringBig Holdings, Inc.",Custom computer programming services,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,UNITED STATES
SBLK,Star Bulk Carriers,Deep sea foreign transportation of freight,Transportation,TRANS-SHIP,TRANSPORTATION,Y,GREECE
SBLX,StableX Technologies Inc,"Communication services, not elsewhere classified",Business Services,Technology Services,BUSINESS SERVICES,N,UNITED STATES
SBMFF,Sino Biopharmaceutical,Private households,Medical,MED-BIOMED/GENE,DRUGS,N,HONG KONG
SBNY,Signature Bank,State commercial banks,Finance,BANKS-NORTHEAST,BANKS & THRIFTS,N,UNITED STATES
SBR,Sabine Royalty Trust,Oil royalty traders,Oils/Energy,OIL-US RYLTY TR,OIL-EXP&PROD,N,UNITED STATES
SBRA,Sabra Healthcare REIT,Real estate investment trusts,Finance,REIT-EQTY TRUST -OTHER,REAL ESTATE,Y,UNITED STATES
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo  Sabesp,Water supply,Utilities,UTIL-WATER SPLY,UTIL-WATER SPLY,Y,BRAZIL
SBSAA,Spanish Broadcasting System,Radio broadcasting stations,Consumer Discretionary,BRDCST-RADIO/TV,MEDIA,N,UNITED STATES
SBSI,Southside Bancshares,State commercial banks,Finance,BANKS-SOUTHWEST,BANKS & THRIFTS,Y,UNITED STATES
SBSNY,Vend Marketplaces ASA - Unsponsored ADR,,,,,,
SBSW,Sibanye Gold Limited,Gold & silver ores,Basic Materials,MINING -MISC,METALS-NON FERR,Y,SOUTH AFRICA
SBTB,SBT Bancorp,State commercial banks,Finance,BANKS-NORTHEAST,BANKS & THRIFTS,N,UNITED STATES
SBUX,Starbucks,Eating & drinking places,Retail/Wholesale,RETAIL-RESTRNTS,FOOD/DRUG-RTL/WHL,Y,UNITED STATES
SBXD,SilverBox Corp IV,Holding & other investment offices,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,UNITED STATES
SCAG,Scage Future - Unsponsored ADR,Holding & other investment offices,Auto/Tires/Trucks,AUTO/TRUCK-ORIG,AUTOS/TIRES/TRUCKS,N,CAYMAN ISLANDS
SCBFF,Standard Chartered,National commercial banks,Finance,BANKS-FOREIGN,BANKS-MAJOR,N,UNITED KINGDOM
SCBH,Seacoast Commerce Bank,State commercial banks,Finance,BANKS-SOUTHWEST,BANKS & THRIFTS,N,UNITED STATES
SCCO,Southern Copper,Metal mining,Basic Materials,MINING -NON FERR,METALS-NON FERR,Y,UNITED STATES
SCDA,B- SCADA INC,,,,,,
SCFLF,Schaeffler,Private households,Auto/Tires/Trucks,AUTO/TRUCK-ORIG,AUTOS/TIRES/TRUCKS,N,GERMANY
SCGLY,Societe Generale Group,"Commercial banks, not elsewhere classified",Finance,BANKS-FOREIGN,BANKS-MAJOR,N,FRANCE
SCGX,SAXON CAP GRP,,,,,,
SCHL,Scholastic,Book publishing,Consumer Staples,PUBLSHG-BOOKS,PUBLISHING,Y,UNITED STATES
SCHW,Charles Schwab,Security brokers & dealers,Finance,FIN-INVEST BKRS,INVEST BKRS/MGMT,Y,UNITED STATES
SCHYY,Sands China,Private households,Consumer Discretionary,HOTELS & MOTELS,LEISURE SERVICES,N,
SCI,Service Corporation International,Personal services,Consumer Staples,FUNERAL SVS&REL,CON PRD-MISC STAPLES,Y,UNITED STATES
SCIA,SCI Engineered Materials,Electrical industrial apparatus,Computer and Technology,ELEC COMP-SEMIC,ELECTRON-SEMI,N,UNITED STATES
SCIE,SpectraScience,Electromedical equipment,Medical,MED INSTRUMENTS,MED PRODS,N,UNITED STATES
SCIL,Scientific Learning,Educational services,Computer and Technology,COMP-SOFTWARE,COMPUTER SOFT/SERV,N,UNITED STATES
SCIXF,Scailex,Printing trades machinery,Computer and Technology,Wireless Equipment,TELECOMM EQUIP,N,ISRAEL
SCKT,Socket Mobile,Electronic computers,Computer and Technology,COMP-PERIPH EQP,COMPUTER/OFFICE EQUIP,N,UNITED STATES
SCL,Stepan,"Soap, detergents, & cleaning preparations; perfumes, & cosmetics",Basic Materials,CHEM-DIVERSIFD,CHEMICALS,Y,UNITED STATES
SCLTF,Canyon Copper,Metal mining,Basic Materials,MINING -MISC,METALS-NON FERR,N,CANADA
SCLX,Scilex Holding Company,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES
SCM,Stellus Capital Investment,"Investors, not elsewhere classified",Finance,FIN-SBIC&COMMRL,FINANCE,Y,UNITED STATES
SCMT,OchZiff Capital Management Group,Investment advice,Finance,FIN-INVEST MGMT,INVEST BKRS/MGMT,N,UNITED STATES
SCMWY,Swisscom,"Telephone communication, except radio",Utilities,Diversified Comm Services,UTIL-TELEPHONE,N,SWITZERLAND
SCND,Scientific Industries,Analytical instruments,Computer and Technology,INSTRU-SCIENTFC,MISC TECHNOLOGY,N,UNITED STATES
SCNG,Sc Holdings Corp.,Industrial organic chemicals,Oils/Energy,Biofuels,ENERGY-ALT SRCS,N,UNITED STATES
SCNI,Scinai Immunotherapeutics Ltd. Sponsored ADR,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,N,ISRAEL
SCNX,"Scienture Holdings, Inc.",Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,N,UNITED STATES
SCOO,School Specialty,Wholesale trade - durable goods,Consumer Discretionary,CONSM PD-MISC DIS,OTHER CONS DISC,N,UNITED STATES
SCOR,comScore,"Business services, not elsewhere classified",Business Services,BUSINESS SVCS,BUSINESS SERVICES,N,UNITED STATES
SCPJ,Scope Industries,Grain mill products,Industrial Products,POLLUTION CNTRL,POLLUTION CNTRL,N,UNITED STATES
SCPS,Scopus BioPharma,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES
SCRCQ,Scripsamerica,"Drugs, proprietaries, & sundries",Medical,MED/DENTAL-SUPP,MED PRODS,N,UNITED STATES
SCRM,Screaming Eagle Acquisition Corp.,Holding & other investment offices,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,UNITED STATES
SCRYY,Scor,Life insurance,Finance,INS-MULTI LINE,INSURANCE,N,FRANCE
SCSC,ScanSource,"Computers, peripherals, & software",Business Services,Technology Services,BUSINESS SERVICES,Y,UNITED STATES
SCSG,SouthCrest Financial Group,National commercial banks,Finance,FIN-SVGS & LOAN,BANKS & THRIFTS,N,UNITED STATES
SCST,SUNCAST SOLAR,Testing laboratories,Business Services,Waste Removal Svcs,BUSINESS SERVICES,N,UNITED STATES
SCTN,SCHIMATIC TECH,,,,,,
SCVL,Shoe Carnival,Shoe stores,Retail/Wholesale,RETAIL-APP/SHOE,NONFOOD RETAIL/WH,Y,UNITED STATES
SCWO,374Water Inc.,Motors & generators,Business Services,Waste Removal Svcs,BUSINESS SERVICES,N,UNITED STATES
SCYRF,Scryb,Medical & hospital equipment,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,CANADA
SCYT,Security Bancorp,Federal savings institutions,Finance,FIN-SVGS & LOAN,BANKS & THRIFTS,N,UNITED STATES
SCYX,SCYNEXIS,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES
SD,SandRidge Energy,Crude petroleum & natural gas,Oils/Energy,OIL-US INTEGRTD,OIL-INTEGRATED,Y,UNITED STATES
SDA,SUNCAR TECH GRP,"Automotive repair, services & parking",Business Services,Technology Services,BUSINESS SERVICES,N,CHINA
SDCCQ,SmileDirectClub,Dental equipment & supplies,Medical,MED/DENTAL-SUPP,MED PRODS,Y,UNITED STATES
SDCH,"SideChannel, Inc.",,,,,,
SDGR,Schrodinger,Pharmaceutical preparations,Medical,MEDICAL INFO SYS,MEDICAL CARE,Y,UNITED STATES
SDHC,Smith Douglas Homes Corp.,Operative builders,Construction,BLDG-RSDNT/COMR,CONSTRUCT/BLDG SERV,N,UNITED STATES
SDHI,Siddhi Acquisition Corp.,Holding & other investment offices,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,UNITED STATES
SDLPQ,Seadrill Partners,Drilling oil & gas wells,Oils/Energy,OIL&GAS-DRILL,OIL MACH/SVC/DRILL,N,UNITED KINGDOM
SDM,Smart Digital Group Limited,Miscellaneous business services,Business Services,ADVERTISING/MKTG SVCS,BUSINESS SERVICES,N,SINGAPORE
SDON,Sandston,Holding & other investment offices,Industrial Products,INDL AUTO/RBTCS,MACHINERY,N,UNITED STATES
SDOT,SADOT GROUP INC,Eating & drinking places,Consumer Staples,CONS PD- MISC STPL,CON PRD-MISC STAPLES,N,UNITED STATES
SDRL,Seadrill Limited,Drilling oil & gas wells,Oils/Energy,OIL&GAS-DRILL,OIL MACH/SVC/DRILL,Y,UNITED STATES
SDST,Stardust Power Inc.,Primary smelting & refining of nonferrous metals,Computer and Technology,ELEC PRODS-MISC,ELECTRONICS,N,UNITED STATES
SDVI,SIGNATURE DEVIC,,,,,,
SDVKY,Sandvik,Private households,Industrial Products,MACH TLS&RL PRD,MACHINERY,N,SWEDEN
SDXAY,Sodexo,Management services,Business Services,BUSINESS SVCS,BUSINESS SERVICES,N,FRANCE
SDZNY,Sandoz Group AG Sponsored ADR,Private households,Medical,MED-DRUGS,DRUGS,N,SWITZERLAND
SE,Sea Limited,Miscellaneous business services,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,SINGAPORE
SEAC,SeaChange International,Prepackaged software,Computer and Technology,Communications Components,TELECOMM EQUIP,N,UNITED STATES
SEAT,Vivid Seats,Miscellaneous amusement & recreation services,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES
SEB,Seaboard,Farm-product raw materials,Consumer Staples,FOOD-MISC/DIVERSIFIED,FOOD,N,UNITED STATES
SEDG,SolarEdge Technologies,Semiconductors & related devices,Oils/Energy,Solar,ENERGY-ALT SRCS,Y,ISRAEL
SEDN,SED International,"Computers, peripherals, & software",Retail/Wholesale,RETAIL/WHSL CMP,NONFOOD RETAIL/WH,N,UNITED STATES
SEE,Sealed Air,"Plastics materials & synthetic resins, synthetic rubber, cellulosic",Industrial Products,CONTNRS-PPR/PLS,CONTNRS & GLASS,Y,UNITED STATES
SEED,Origin Agritech Limited,Agricultural production - crops,Consumer Staples,AGRI OPERATIONS,FOOD,N,CHINA
SEEK,THEDIRECTORYCOM,,,,,,
SEELQ,Seelos Therapeutics,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES
SEER,Seer,Analytical instruments,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
SEG,Seaport Entertainment Group Inc.,Miscellaneous amusement & recreation services,Finance,REAL ESTATE OPS,REAL ESTATE,Y,UNITED STATES
SEGG,Lottery.com,Prepackaged software,Consumer Discretionary,GAMING,LEISURE SERVICES,N,UNITED STATES
SEGI,Sycamore Entertainment Group,Pharmaceutical preparations,Consumer Discretionary,MEDIA CONGLOM,MEDIA,N,UNITED STATES
SEGXF,SEGRO,Private households,Finance,REIT-EQTY TRUST -OTHER,REAL ESTATE,N,UNITED KINGDOM
SEGYY,SPT ENERGY GRP,,,,,,
SEI,"Solaris Energy Infrastructure, Inc.",Oil & gas field machinery,Oils/Energy,OIL FLD MCH&EQP,OIL MACH/SVC/DRILL,Y,UNITED STATES
SEIC,SEI Investments,Security brokers & dealers,Finance,FIN-INVEST MGMT,INVEST BKRS/MGMT,Y,UNITED STATES
SEIGY,SEMPERIT AG HLD,Private households,Medical,MED PRODUCTS,MED PRODS,N,AUSTRIA
SEII,Cleantech Solutions International,Computer integrated systems design,Industrial Products,MACH-GENL INDL,MACHINERY,N,CHINA
SEKEY,Seiko Epson,Private households,Computer and Technology,OFFICE AUTO&EQP,COMPUTER/OFFICE EQUIP,N,JAPAN
SELF,Global Self Storage,Real estate investment trusts,Finance,REIT-EQTY TRUST -OTHER,REAL ESTATE,Y,UNITED STATES
SELX,Semilux International Ltd.,Semiconductors & related devices,Computer and Technology,ELEC COMP-SEMIC,ELECTRON-SEMI,N,"TAIWAN, PROVINCE OF CHINA"
SEM,Select Medical,Hospitals,Medical,MED-HMO,MEDICAL CARE,Y,UNITED STATES
SEMR,SEMrush,Prepackaged software,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES
SENEA,Seneca Foods,Canned fruits & specialties,Consumer Staples,FOOD-MISC/DIVERSIFIED,FOOD,N,UNITED STATES
SENEB,Seneca Foods Corp.,,,,,,
SENR,Strategic Environmental & Energy Resources,Sanitary services,Business Services,Waste Removal Svcs,BUSINESS SERVICES,N,UNITED STATES
SENS,Senseonics,Process control instruments,Medical,MEDICAL INFO SYS,MEDICAL CARE,Y,UNITED STATES
SEOAY,Stora Enso Oyj,Paper & allied products,Basic Materials,PAPER &REL PRDS,PAPER,N,FINLAND
SEOVF,Sernova Biotherapeutics Inc.,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,CANADA
SEPGY,SuperGroup,Private households,Retail/Wholesale,RETAIL-APP/SHOE,NONFOOD RETAIL/WH,N,UNITED KINGDOM
SEPJY,Spectris,Private households,Computer and Technology,ELEC PRODS-MISC,ELECTRONICS,N,UNITED KINGDOM
SEPN,"Septerna, Inc.",Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
SER,"Serina Therapeutics, Inc.",Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES
SERA,Sera Prognostics,Medical laboratories,Medical,Medical Services,MEDICAL CARE,Y,UNITED STATES
SERV,Serve Robotics Inc.,"General industrial machinery,",Computer and Technology,IT Services,COMPUTER SOFT/SERV,Y,UNITED STATES
SES,SES AI,"Miscellaneous electrical machinery, equipment, & supplies",Auto/Tires/Trucks,AUTO/TRUCK-ORIG,AUTOS/TIRES/TRUCKS,Y,UNITED STATES
SESI,SES Solar,"Heating equipment, except electric",Oils/Energy,Solar,ENERGY-ALT SRCS,N,SWITZERLAND
SEUSF,Sintana Energy Inc.,Crude petroleum & natural gas,Oils/Energy,Other Alt Energy,ENERGY-ALT SRCS,N,CANADA
SEV,Aptera Motors Corp.,Motor vehicles & car bodies,Auto/Tires/Trucks,AUTO -DOMESTIC,AUTOS/TIRES/TRUCKS,Y,UNITED STATES
SEVT,Summit Environmental,Miscellaneous chemical products,Industrial Products,PROTECTION-SFTY,IND PRODS/SVC,N,UNITED STATES
SEXHF,SICHUAN EXPRESS,,,,,,
SEYE,Signature Eyewear,Ophthalmic goods,Medical,MED/DENTAL-SUPP,MED PRODS,N,UNITED STATES
SEZL,Sezzle Inc.,"Business services, not elsewhere classified",Business Services,Financial Transaction Services,BUSINESS SERVICES,Y,UNITED STATES
SF,Stifel Financial,Security brokers & dealers,Finance,FIN-INVEST BKRS,INVEST BKRS/MGMT,Y,UNITED STATES
SFBC,Sound Financial Bancorp,Federal savings institutions,Finance,BANKS-WEST,BANKS & THRIFTS,N,UNITED STATES
SFBK,SFB Bancorp,Federal savings institutions,Finance,FIN-SVGS & LOAN,BANKS & THRIFTS,N,UNITED STATES
SFBS,ServisFirst Bancshares,State commercial banks,Finance,FIN-SVGS & LOAN,BANKS & THRIFTS,Y,UNITED STATES
SFD,"Smithfield Foods, Inc.",Meat packing plants,Consumer Staples,FOOD-MEAT PRODS,FOOD,Y,UNITED STATES
SFDL,Security Federal,State commercial banks,Finance,BANKS-SOUTHEAST,BANKS & THRIFTS,N,UNITED STATES
SFEF,SANTA FE FINANC,Real estate,Finance,REAL ESTATE OPS,REAL ESTATE,N,UNITED STATES
SFEG,Santa Fe Gold,Metal mining,Basic Materials,MINING -MISC,METALS-NON FERR,N,UNITED STATES
SFES,Safeguard Scientifics,"Investors, not elsewhere classified",Finance,FIN-SBIC&COMMRL,FINANCE,N,UNITED STATES
SFHG,Samfine Creation Holdings Group Limited,Commercial printing,Industrial Products,PRINTING-COMMRL,IND PRODS/SVC,N,HONG KONG
SFHI,Sports Field,General building contractors - nonresidential buildings,Consumer Discretionary,LEISURE&REC SVS,LEISURE SERVICES,N,UNITED STATES
SFIN,SAFETEK INTL,,,,,,
SFIV,Sector 5,Electronic computers,Retail/Wholesale,RETAIL-CONS ELC,NONFOOD RETAIL/WH,N,UNITED STATES
SFIX,Stitch Fix,Catalog & mail-order houses,Retail/Wholesale,RETAIL-APP/SHOE,NONFOOD RETAIL/WH,Y,UNITED STATES
SFL,SFL,Deep sea foreign transportation of freight,Transportation,TRANS-SHIP,TRANSPORTATION,Y,BERMUDA
SFM,Sprouts Farmers Market,Grocery stores,Retail/Wholesale,FOOD ITEMS-WHLE,FOOD/DRUG-RTL/WHL,Y,UNITED STATES
SFNC,Simmons First National,National commercial banks,Finance,BANKS-SOUTHEAST,BANKS & THRIFTS,Y,UNITED STATES
SFRHF,SAFRA REPUBLIC,,,,,,
SFRT,"Appreciate Holdings, Inc.",Real estate agents & managers,Finance,FIN-MISC SVCS,FINANCE,N,UNITED STATES
SFSHF,Safestore,Private households,Finance,REAL ESTATE OPS,REAL ESTATE,N,UNITED KINGDOM
SFST,Southern First Bancshares,National commercial banks,Finance,BANKS-SOUTHEAST,BANKS & THRIFTS,Y,UNITED STATES
SFTBY,SoftBank Group,"Telephone communication, except radio",Computer and Technology,Wireless Non-US,TELECOMM SVCS,N,JAPAN
SFUN,Fang,Data processing & preparation,Business Services,BUSINESS SVCS,BUSINESS SERVICES,N,CHINA
SFWJ,SOFTWARE EFFECT,,,,,,
SFWL,Shengfeng Development Limited,"Trucking & courier services, except air",Transportation,TRANS-SERVICES,TRANSPORTATION,N,CHINA
SG,Sweetgreen,Eating places,Retail/Wholesale,RETAIL-RESTRNTS,FOOD/DRUG-RTL/WHL,Y,UNITED STATES
SGA,Saga Communications,Radio broadcasting stations,Consumer Discretionary,BRDCST-RADIO/TV,MEDIA,N,UNITED STATES
SGAMY,"Sega Sammy Holdings, Inc.",,,,,,
SGAPY,Singapore Telecommunications,"Telephone communication, except radio",Utilities,Diversified Comm Services,UTIL-TELEPHONE,N,SINGAPORE
SGBAF,SES,Private households,Computer and Technology,Satellite Communication,TELECOMM SVCS,N,LUXEMBOURG
SGBI,SANGUI BIOTECH,,,,,,
SGBX,SAFE&GREEN HLDG,Lumber & other construction materials,Consumer Discretionary,TEXTILE-HME FRN,HM FURN/APPLI,N,UNITED STATES
SGC,Superior Group of Companies,"Apparel, finished products from fabrics & similar materials",Consumer Discretionary,TEXTILE-APPAREL,APPAREL,Y,UNITED STATES
SGHC,Super Group (SGHC),Miscellaneous amusement & recreation services,Consumer Discretionary,GAMING,LEISURE SERVICES,Y,
SGHIF,SHANGHAI INDUST,,,,,,
SGHIY,Shanghai Industrial,Real estate,Multi-Sector Conglomerates,DIVERSIFIED OPS,CONGLOMERATES,N,HONG KONG
SGHT,Sight Sciences,Surgical & medical instruments,Medical,MED INSTRUMENTS,MED PRODS,Y,UNITED STATES
SGI,Somnigroup International Inc.,Household furniture,Retail/Wholesale,RETAIL-HOME FRN,NONFOOD RETAIL/WH,Y,UNITED STATES
SGIOY,Shionogi & Co.,Private households,Medical,MED-DRUGS,DRUGS,N,JAPAN
SGLA,SINO GREEN LAND,,,,,,
SGLY,Singularity Future Technology,Freight transportation arrangement,Business Services,Technology Services,BUSINESS SERVICES,N,UNITED STATES
SGMD,Sugarmade,Paper & paper products,Basic Materials,PAPER &REL PRDS,PAPER,N,UNITED STATES
SGML,SIGMA LITHIUM,Metal mining,Basic Materials,MINING -MISC,METALS-NON FERR,Y,BRAZIL
SGMO,Sangamo Therapeutics,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
SGMT,Sagimet Biosciences Inc.,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
SGN,"Signing Day Sports, Inc.",Data processing & preparation,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,UNITED STATES
SGOO,SNOOGOO CORP,,,,,,
SGPYY,Sage Group,Private households,Computer and Technology,Business Software Services/BPO,COMPUTER SOFT/SERV,N,UNITED KINGDOM
SGQRF,SouthGobi Resources,Gold ores,Oils/Energy,COAL,COAL,N,CANADA
SGRP,SPAR Group,"Business services, not elsewhere classified",Business Services,BUSINESS SVCS,BUSINESS SERVICES,N,UNITED STATES
SGRY,Surgery Partners,General medical & surgical hospitals,Medical,Medical Services,MEDICAL CARE,Y,UNITED STATES
SGRZ,Stonepath Group,Freight transportation arrangement,Transportation,TRANS-SERVICES,TRANSPORTATION,N,UNITED STATES
SGSOY,SGS,Private households,Business Services,BUSINESS SVCS,BUSINESS SERVICES,N,SWITZERLAND
SGTB,Suggestion Box,"Business services, not elsewhere classified",Computer and Technology,INTERNET SERVICES,COMPUTER SOFT/SERV,N,UNITED STATES
SGU,"Star Group, L.P.","Retail stores, not elsewhere classified",Computer and Technology,ELEC PRODS-MISC,ELECTRONICS,Y,UNITED STATES
SGYI,STRATEGY INTL,,,,,,
SHABF,Shaftesbury,Private households,Finance,REAL ESTATE OPS,REAL ESTATE,N,UNITED KINGDOM
SHAK,Shake Shack,Eating & drinking places,Retail/Wholesale,RETAIL-RESTRNTS,FOOD/DRUG-RTL/WHL,Y,UNITED STATES
SHALF,SHANGRI LA ASIA,,,,,,
SHALY,ShangriLa Asia,Private households,Consumer Discretionary,HOTELS & MOTELS,LEISURE SERVICES,N,HONG KONG
SHANF,SHANDONG MOLOMG,,,,,,
SHANY,SHANDONG MOLOMG,,,,,,
SHAZD,SharonAI Holdings Inc.,Holding & other investment offices,Computer and Technology,IT Services,COMPUTER SOFT/SERV,N,UNITED STATES
SHBI,Shore Bancshares,National commercial banks,Finance,BANKS-NORTHEAST,BANKS & THRIFTS,Y,UNITED STATES
SHC,Sotera Health,"Miscellaneous health & allied services, not elsewhere classified",Medical,Medical Services,MEDICAL CARE,Y,UNITED STATES
SHCAY,Sharp,"Electronic, electrical equipment & components, except computer equipment",Consumer Discretionary,AUDIO/VIDEO PRD,CONSUMER ELECTRONICS,N,JAPAN
SHCC,SHI CORPORATION,,,,,,
SHCO,SOHO HOUSE&CO,Hotels & motels,Consumer Discretionary,HOTELS & MOTELS,LEISURE SERVICES,Y,UNITED KINGDOM
SHDN,SHERIDAN ENERGY,,,,,,
SHECY,ShinEtsu Chemical Co.,Private households,Basic Materials,CHEM-DIVERSIFD,CHEMICALS,N,JAPAN
SHEL,Shell,Crude petroleum & natural gas,Oils/Energy,OIL-INTL INTGD,OIL-INTEGRATED,Y,UNITED KINGDOM
SHEN,Shenandoah Telecommunications Co,"Telephone communication, except radio",Utilities,Diversified Comm Services,UTIL-TELEPHONE,Y,UNITED STATES
SHFS,"SHF Holdings, Inc.",Nondepository credit institutions,Finance,FIN-MISC SVCS,FINANCE,N,UNITED STATES
SHG,Shinhan Financial Group Co,National commercial banks,Finance,BANKS-FOREIGN,BANKS-MAJOR,Y,"KOREA, REPUBLIC OF"
SHGKY,Sun Hung Kai and Co.,Short-term business credit,Finance,FIN-MISC SVCS,FINANCE,N,HONG KONG
SHI,SINOPEC Shangai Petrochemical,Plastics materials & resins,Basic Materials,CHEM-DIVERSIFD,CHEMICALS,N,CHINA
SHIM,Shimmick Corporation,"Heavy construction, except building construction - contractors",Construction,ENGINRG/R&D SVS,CONSTRUCT/BLDG SERV,N,UNITED STATES
SHIP,Seanergy Maritime Holdings,Deep sea foreign transportation of freight,Transportation,TRANS-SHIP,TRANSPORTATION,Y,GREECE
SHLDQ,Sears,Department stores,Retail/Wholesale,RETAIL-DISCOUNT,NONFOOD RETAIL/WH,N,UNITED STATES
SHLS,Shoals Technologies Group,Semiconductors & related devices,Oils/Energy,Solar,ENERGY-ALT SRCS,Y,UNITED STATES
SHMD,SCHMID Group N.V.,Holding & other investment offices,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,CAYMAN ISLANDS
SHMN,SOHM INC,,,,,,
SHMP,NaturalShrimp Incorporated,"Fishing, hunting & trapping",Industrial Products,MACH-FARM,MACHINERY,N,UNITED STATES
SHMUY,Shimizu,Private households,Construction,BLDG&CONST-MISC,BUILDING PRODS,N,JAPAN
SHNWF,Schroders,Private households,Finance,FIN-INVEST MGMT,INVEST BKRS/MGMT,N,UNITED KINGDOM
SHO,Sunstone Hotel Investors,Hotels & motels,Finance,REIT-EQTY TRUST -OTHER,REAL ESTATE,Y,UNITED STATES
SHOO,Steven Madden,"Footwear, except rubber",Consumer Discretionary,SHOES&REL APPRL,APPAREL,Y,UNITED STATES
SHOP,Shopify,Prepackaged software,Computer and Technology,INTERNET SERVICES,COMPUTER SOFT/SERV,Y,CANADA
SHPH,"Shuttle Pharmaceuticals Holdings, Inc.",Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,N,UNITED STATES
SHPWQ,Shapeways Holdings,Miscellaneous manufacturing industries,Business Services,Technology Services,BUSINESS SERVICES,N,UNITED STATES
SHRC,Shore Community Bank,National commercial banks,Finance,BANKS-NORTHEAST,BANKS & THRIFTS,N,UNITED STATES
SHTDF,SINOPHARM GP CO,,,,,,
SHTGF,SHUN TAK HLDGS,,,,,,
SHW,SherwinWilliams,"Building materials, hardware, garden supply & mobile home dealers",Basic Materials,CHEM-SPECIALTY,CHEMICALS,Y,UNITED STATES
SHWDY,Resonac Holdings Corporation Unsponsored ADR,Chemicals & allied products,Basic Materials,CHEM-DIVERSIFD,CHEMICALS,N,JAPAN
SHWGF,Shandong Weigao Medical Polymer Co.,Surgical appliances & supplies,Medical,MED PRODUCTS,MED PRODS,N,CHINA
SHZNF,SHENZHEN EXPRES,,,,,,
SHZNY,SHENZHEN EXPRES,,,,,,
SI,"Shoulder Innovations, Inc.",Surgical & medical instruments,Medical,Medical Services,MEDICAL CARE,N,UNITED STATES
SI.1,ACM GOVT SP FD,,,,,,
SIAF,Sino Agro Food,"Fishing, hunting & trapping",Consumer Staples,AGRI OPERATIONS,FOOD,N,CHINA
SIBN,SiBone,Surgical & medical instruments,Medical,MED INSTRUMENTS,MED PRODS,Y,UNITED STATES
SICPQ,Silvergate Capital,State commercial banks,Finance,BANKS-SOUTHWEST,BANKS & THRIFTS,N,UNITED STATES
SID,National Steel,"Steel works, blast furnaces, & rolling & finishing mills",Basic Materials,STEEL-PRODUCERS,STEEL,Y,BRAZIL
SIDGQ,Stamford Industrial Group,Metal forgings & stampings,Industrial Products,METAL PROC&FABR,METALS FABRICATING,N,UNITED STATES
SIDU,Sidus Space,Radiotelephone communication,Aerospace,AEROSP/DEFENSE,AEROSPACE/DEFENSE,N,UNITED STATES
SIEB,Siebert Financial,Security brokers & dealers,Finance,FIN-INVEST BKRS,INVEST BKRS/MGMT,Y,UNITED STATES
SIEGY,Siemens,"Electronic, electrical equipment & components, except computer equipment",Industrial Products,Industrial Services,IND PRODS/SVC,N,GERMANY
SIELY,Shanghai Electric Group Co.,Private households,Industrial Products,MACH-ELEC UTILS,MACHINERY-ELEC,N,CHINA
SIF,SIFCO Industries,Aircraft engines & engine parts,Aerospace,AEROSP/DEF EQ,AEROSPACE/DEFENSE,N,UNITED STATES
SIFY,Sify Technologies Limited,"Computer programming, data processing, & other computer related",Computer and Technology,INTERNET SERVICES,COMPUTER SOFT/SERV,Y,INDIA
