Symbol,Name,Description,Sector,Industry,Industry_2,Optionable,Country
AEI,ALSET INC,Real estate,Multi-Sector Conglomerates,DIVERSIFIED OPS,CONGLOMERATES,N,UNITED STATES
AEIS,Advanced Energy Industries,"Electronic components, not elsewhere classified",Computer and Technology,SEQPT-WAFER FAB,MISC TECHNOLOGY,Y,UNITED STATES
AEM,Agnico Eagle Mines,Gold & silver ores,Basic Materials,MINING -GOLD,METALS-NON FERR,Y,CANADA
AEMD,Aethlon Medical,Surgical & medical instruments,Medical,MED-HMO,MEDICAL CARE,N,UNITED STATES
AENT,Alliance Entertainment Holding Corporation,"Durable goods, not elsewhere classified",Consumer Discretionary,MEDIA CONGLOM,MEDIA,N,UNITED STATES
AEO,American Eagle Outfitters,Family clothing stores,Retail/Wholesale,RETAIL-APP/SHOE,NONFOOD RETAIL/WH,Y,UNITED STATES
AEON,"AEON Biopharma, Inc.",Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES
AEP,American Electric Power,Electric services,Utilities,UTIL-ELEC PWR,UTIL-ELEC PWR,Y,UNITED STATES
AEPT,W2 Energy,Industrial organic chemicals,Oils/Energy,Other Alt Energy,ENERGY-ALT SRCS,N,CANADA
AER,Aercap,"Equipment rental & leasing, not elsewhere classified",Transportation,TRANS-EQP&LSNG,TRANSPORTATION,Y,IRELAND
AERG,Applied Energetics,Search & navigation equipment,Computer and Technology,LASERS-SYS/COMP,MISC TECHNOLOGY,N,UNITED STATES
AERN,AER Energy Resources,"Miscellaneous electrical machinery, equipment, & supplies",Oils/Energy,OIL-US EXP&PROD,OIL-EXP&PROD,N,UNITED STATES
AERO,Grupo Aeromexico SAB DE CV - Sponsored ADR,"Air transportation, scheduled",Aerospace,AEROSP/DEFENSE,AEROSPACE/DEFENSE,N,MEXICO
AERT,"Aeries Technology, Inc.",Management consulting services,Business Services,Technology Services,BUSINESS SERVICES,N,SINGAPORE
AES,AES,"Electric, gas & sanitary services",Utilities,UTIL-ELEC PWR,UTIL-ELEC PWR,Y,UNITED STATES
AESI,Atlas Energy Solutions Inc.,Crude petroleum & natural gas,Oils/Energy,OIL-US INTEGRTD,OIL-INTEGRATED,Y,UNITED STATES
AETUF,Arc Resources,Crude petroleum & natural gas,Oils/Energy,OIL-C$ EXP&PROD,OIL-EXP&PROD,N,CANADA
